I, II, III, aVR, aVL, aVF,V1,V2,V3,V4,V5,V6
29,58,29,-43,0,43,58,175,146,87,19,-9
34,58,24,-46,4,41,58,180,151,92,29,-4
39,58,19,-48,9,39,58,185,156,97,39,0
39,58,19,-48,9,39,53,190,165,107,39,4
39,58,19,-48,9,39,48,195,175,117,39,9
43,58,14,-51,14,36,43,200,175,122,43,19
48,58,9,-53,19,34,39,204,175,126,48,29
53,58,4,-56,24,31,39,214,180,126,53,29
58,58,0,-58,29,29,39,224,185,126,58,29
63,58,-4,-61,34,26,39,229,190,136,58,24
68,58,-9,-63,39,24,39,234,195,146,58,19
78,58,-19,-68,48,19,34,253,200,146,58,19
87,58,-29,-73,58,14,29,273,204,146,58,19
97,58,-39,-78,68,9,24,278,209,146,53,19
107,58,-48,-82,78,4,19,283,214,146,48,19
112,58,-53,-85,82,2,19,302,224,146,43,14
117,58,-58,-87,87,0,19,322,234,146,39,9
131,68,-63,-100,97,2,19,336,239,146,34,4
146,78,-68,-112,107,4,19,351,244,146,29,0
156,78,-78,-117,117,0,19,370,248,146,29,0
165,78,-87,-122,126,-4,19,390,253,146,29,0
170,73,-97,-122,134,-12,19,405,253,141,19,-4
175,68,-107,-122,141,-19,19,419,253,136,9,-9
185,63,-122,-124,153,-29,19,439,253,122,0,-14
195,58,-136,-126,165,-39,19,458,253,107,-9,-19
204,58,-146,-131,175,-43,19,473,253,92,-19,-24
214,58,-156,-136,185,-48,19,488,253,78,-29,-29
219,53,-165,-136,192,-56,19,497,244,58,-48,-43
224,48,-175,-136,200,-63,19,507,234,39,-68,-58
224,39,-185,-131,204,-73,19,507,219,9,-97,-73
224,29,-195,-126,209,-82,19,507,204,-19,-126,-87
219,19,-200,-119,209,-90,19,502,195,-39,-141,-92
214,9,-204,-112,209,-97,19,497,185,-58,-156,-97
214,9,-204,-112,209,-97,19,492,175,-78,-170,-102
214,9,-204,-112,209,-97,19,488,165,-97,-185,-107
200,14,-185,-107,192,-85,19,473,156,-107,-185,-107
185,19,-165,-102,175,-73,19,458,146,-117,-185,-107
170,19,-151,-95,161,-65,19,429,131,-117,-185,-102
156,19,-136,-87,146,-58,19,400,117,-117,-185,-97
131,9,-122,-70,126,-56,24,366,97,-117,-180,-97
107,0,-107,-53,107,-53,29,331,78,-117,-175,-97
87,-9,-97,-39,92,-53,29,302,73,-107,-165,-92
68,-19,-87,-24,78,-53,29,273,68,-97,-156,-87
