I, II, III, aVR, aVL, aVF,V1,V2,V3,V4,V5,V6
-9,-58,-48,34,19,-53,19,9,58,29,29,-9
-9,-53,-43,31,17,-48,19,14,63,34,29,-9
-9,-48,-39,29,14,-43,19,19,68,39,29,-9
-9,-48,-39,29,14,-43,24,24,73,43,29,-9
-9,-48,-39,29,14,-43,29,29,78,48,29,-9
-9,-48,-39,29,14,-43,29,34,87,58,34,-9
-9,-48,-39,29,14,-43,29,39,97,68,39,-9
-4,-48,-43,26,19,-46,29,48,102,68,43,0
0,-48,-48,24,24,-48,29,58,107,68,48,9
0,-48,-48,24,24,-48,34,58,117,82,58,9
0,-48,-48,24,24,-48,39,58,126,97,68,9
0,-48,-48,24,24,-48,39,68,136,102,73,14
0,-48,-48,24,24,-48,39,78,146,107,78,19
0,-43,-43,21,21,-43,43,87,156,117,82,19
0,-39,-39,19,19,-39,48,97,165,126,87,19
4,-39,-43,17,24,-41,48,107,185,136,92,19
9,-39,-48,14,29,-43,48,117,204,146,97,19
9,-34,-43,12,26,-39,53,131,219,161,107,29
9,-29,-39,9,24,-34,58,146,234,175,117,39
9,-24,-34,7,21,-29,63,161,248,195,126,43
9,-19,-29,4,19,-24,68,175,263,214,136,48
9,-19,-29,4,19,-24,68,190,287,229,146,53
9,-19,-29,4,19,-24,68,204,312,244,156,58
14,-19,-34,2,24,-26,73,219,326,263,175,63
19,-19,-39,0,29,-29,78,234,341,283,195,68
19,-14,-34,-2,26,-24,82,244,361,302,209,73
19,-9,-29,-4,24,-19,87,253,380,322,224,78
19,-4,-24,-7,21,-14,87,263,395,351,244,92
19,0,-19,-9,19,-9,87,273,409,380,263,107
24,4,-19,-14,21,-7,82,283,429,405,287,122
29,9,-19,-19,24,-4,78,292,448,429,312,136
34,19,-14,-26,24,2,73,292,458,458,336,151
39,29,-9,-34,24,9,68,292,468,488,361,165
48,43,-4,-46,26,19,63,292,483,517,390,180
58,58,0,-58,29,29,58,292,497,546,419,195
58,68,9,-63,24,39,48,283,497,575,444,209
58,78,19,-68,19,48,39,273,497,605,468,224
68,82,14,-75,26,48,24,248,497,619,492,248
78,87,9,-82,34,48,9,224,497,634,517,273
87,97,9,-92,39,53,-9,200,488,653,536,287
97,107,9,-102,43,58,-29,175,478,673,556,302
